sim_no,restitution,lateralFriction,spinningFriction,contactDamping,contactStiffness
0,0.2,0.5,0.1,10000.0,1000000.0
1,0.4,0.5,0.1,10000.0,1000000.0
2,0.6,0.5,0.1,10000.0,1000000.0
3,0.8,0.5,0.1,10000.0,1000000.0
4,0.3,0.01,0.1,10000.0,1000000.0
5,0.3,0.11,0.1,10000.0,1000000.0
6,0.3,0.21,0.1,10000.0,1000000.0
7,0.3,0.31,0.1,10000.0,1000000.0
8,0.3,0.41,0.1,10000.0,1000000.0
9,0.3,0.5,0.01,10000.0,1000000.0
10,0.3,0.5,0.11,10000.0,1000000.0
11,0.3,0.5,0.21,10000.0,1000000.0
12,0.3,0.5,0.31,10000.0,1000000.0
13,0.3,0.5,0.41,10000.0,1000000.0
14,0.3,0.5,0.1,1000.0,1000000.0
15,0.3,0.5,0.1,10000.0,1000000.0
16,0.3,0.5,0.1,100000.0,1000000.0
17,0.3,0.5,0.1,1000000.0,1000000.0
18,0.3,0.5,0.1,10000000.0,1000000.0
19,0.3,0.5,0.1,10000.0,10000.0
20,0.3,0.5,0.1,10000.0,100000.0
21,0.3,0.5,0.1,10000.0,1000000.0
22,0.3,0.5,0.1,10000.0,10000000.0
23,0.3,0.5,0.1,10000.0,100000000.0
